ID,Title,imageURL,Chart,cardURL,embedCode,summary
1,DP25 | Breakout Registration by Session - Line Item,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=0,table,https://domo.domo.com/page/273550200/kpis/details/1663575913,q7gg3,Detailed breakdown of session registrations showing attendance patterns and popular time slots.
2,Domopalooza In-person YoY Registration Comparison,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=1,Line Chart,https://domo.domo.com/page/273550200/kpis/details/1274486623,q7gg3,Year-over-year comparison of in-person registration trends highlighting growth and attendance patterns.
3,DP 25 Attendee Industry Breakdown,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=2,heatMap,https://domo.domo.com/page/273550200/kpis/details/2121587279,q7gg3,Distribution of attendees across different industry sectors showing primary audience segments.
4,DP25 Registrations,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=3,Gauge,https://domo.domo.com/page/273550200/kpis/details/1430887818,q7gg3,Real-time tracking of total registrations against target goals and capacity limits.
5,DP25 Master Agenda,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=4,Table,https://domo.domo.com/page/273550200/kpis/details/848075994,q7gg3,Complete schedule of all sessions, workshops, and events with timing and location details.
6,Registrants by Country,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=5,Map,https://domo.domo.com/page/273550200/kpis/details/1931774481,q7gg3,Geographic distribution of attendees showcasing global reach and participation.
7,Attendee Job Level,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=6,Pie,https://domo.domo.com/page/273550200/kpis/details/2137776612,q7gg3,Breakdown of attendees by job role and seniority level within their organizations.
8,Relationship to Domo,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=7,Pie,https://domo.domo.com/page/273550200/kpis/details/653355050,q7gg3,Analysis of attendee relationships with Domo, including customers, partners, and prospects.
9,Ski Day Registration,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=8,Bar,https://domo.domo.com/page/273550200/kpis/details/1645465878,q7gg3,Registration statistics for the ski day event including skill levels and equipment needs.
10,Dietary Restrictions,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=9,Pie,https://domo.domo.com/page/273550200/kpis/details/870360473,q7gg3,Overview of attendee dietary requirements and preferences for meal planning.
11,Pre-Con Registration by Session,https://th.bing.com/th/id/R.b1b463303db368fd76ad68356d1d4f0c?rik=lY2e9ubl6ESqZg&pid=ImgRaw&r=10,Overlay bar,https://domo.domo.com/page/273550200/kpis/details/1648967139,q7gg3,Pre-conference session registration numbers showing most popular training options.